list_issues,list_artid,img_url
MMHCO01:000065487:mpeg21,MMHCO01:000065487:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065487:mpeg21:p004:image&x=1154&y=100&w=1980&h=785
MMKB08:000089139:mpeg21,MMKB08:000089139:mpeg21:a0008,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089139:mpeg21:p003:image&x=1818&y=4482&w=863&h=906
MMKB08:000114962:mpeg21,MMKB08:000114962:mpeg21:a0014,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000114962:mpeg21:p003:image&x=1052&y=2638&w=1008&h=2361
MMDA03:000093929:mpeg21,MMDA03:000093929:mpeg21:a0022,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093929:mpeg21:p004:image&x=114&y=4077&w=965&h=1095
ddd:010507594:mpeg21,ddd:010507594:mpeg21:a0010,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010507594:mpeg21:p002:image&x=1932&y=1534&w=890&h=2965
ddd:010996176:mpeg21,ddd:010996176:mpeg21:a0041,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010996176:mpeg21:p004:image&x=3124&y=5709&w=989&h=159
ddd:010509243:mpeg21,ddd:010509243:mpeg21:a0010,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010509243:mpeg21:p003:image&x=2565&y=2826&w=823&h=1682
ddd:010495682:mpeg21,ddd:010495682:mpeg21:a0002,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495682:mpeg21:p001:image&x=69&y=3247&w=1018&h=64
ddd:010097938:mpeg21,ddd:010097938:mpeg21:a0029,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097938:mpeg21:p003:image&x=2251&y=6158&w=568&h=69
ddd:011101418:mpeg21,ddd:011101418:mpeg21:a0006,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011101418:mpeg21:p004:image&x=2825&y=4437&w=895&h=59
ddd:110532976:mpeg21,ddd:110532976:mpeg21:a0048,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:110532976:mpeg21:p009:image&x=17&y=6000&w=2010&h=142
ddd:010262943:mpeg21,ddd:010262943:mpeg21:a0041,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262943:mpeg21:p004:image&x=909&y=94&w=622&h=98
MMHCO01:000065488:mpeg21,MMHCO01:000065488:mpeg21:a0006,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065488:mpeg21:p003:image&x=1108&y=1547&w=959&h=629
