res,occ
no wage indication,dienstbode
tien,dienst
tien,dienst
qualitative,boer
qualitative,grossiers
1080,president
1080,secretaris
1132,president
1132,secretaris
1132,secretaris
no wage indication,expeditie
120,meid
120,huiswerk
120,werkmeid
ï00,werkmeid
qualitative,hoofd
qualitative,richter
qualitative,makelaars
90,dienstbode
qualitative,kruideniers
qualitative,gezichtkundige
qualitative,chirurg
115,boekhandelaar
115,keukenmeid
115,boekhandelaar
100,keukenmeid
qualitative,keukenmeid
115,keukenmeid
115,gouvernante
115,gouvernante
115,kantoorboekhandelaar
115,keukenmeid
qualitative,gepensionncerd
qualitative,sergeant
qualitative,loopknecht
qualitative,oppasser
qualitative,boekhandelaar
225,keukenmeid
225,keukenmeid
no wage indication,knecht
qualitative,keukenmeid
qualitative,huisknecht
225,keukenmeid
no wage indication,oppasser
no wage indication,huiswerk
no wage indication,werkmeid
qualitative,agent
no wage indication,bloemist
no wage indication,waard
no wage indication,diamantklover
no wage indication,boekhandelaar
qualitative,deventer
qualitative,diende
no wage indication,boekdrukker
qualitative,deventer
no wage indication,bazaar
no wage indication,leiden
no wage indication,knecht
no wage indication,zomer
qualitative,behangers
no wage indication,hoofd
no wage indication,onderwijzer
no wage indication,winkelbediende
no wage indication,huishoudster
no wage indication,heer
no wage indication,huishoudster
no wage indication,heer
no wage indication,winkelbediende
no wage indication,huishoudster
no wage indication,heer
no wage indication,huishoudster
no wage indication,heer
no wage indication,heer
120,keukenmeid
120,huiswerk
ƒ,boekhandelaar
qualitative,juffrouw
qualitative,noodhulp
qualitative,dienst
qualitative,dienst
qualitative,keukenmeid
qualitative,keukenmeid
no wage indication,boekhandelaar
ƒl2o,keukenmeid
ƒl2o,meid
ƒl2o,huiswerk
no wage indication,keukenmeid
no wage indication,huiswerk
no wage indication,boekhandelaar
ƒ9o,dienst
no wage indication,hoofd
qualitative,dienst
franco,ageit
franco,hoofdagent
qualitative,rediende
ƒ125,dienstbode
ƒ125,schoonmaakster
60,banketbakker
60,kok
qualitative,scheikundige
qualitative,deventer
qualitative,deventer
no wage indication,keukenmeid
120,keukenmeid
120,huiswerk
100,dienstbode
qualitative,behanger
qualitative,behangersknecht
120,boekhandelaar
ƒloo,huiswerk
100,dienstbode
qualitative,keukenmeid
qualitative,keukenmeid
100,werkster
100,werkmeid
100,werkmeid
100,werkmeid
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
no wage indication,administratie
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
100,dienstbode
ƒ,schoonmaakster
80,zolder
80,boekhandelaar
80,bode
80,zolder
80,boekhandelaar
100,dienstbode
100,meid
ƒ,boekhandelaar
qualitative,kamer
qualitative,tolk
qualitative,bediende
no wage indication,procureur
no wage indication,pakker
qualitative,eigenaar
qualitative,maar
qualitative,werksters
ƒl2o,kindermeisje
ƒl2o,dienst
ƒl2o,keukenmeid
qualitative,eigenaar
qualitative,maar
qualitative,oppasser
qualitative,huisknecht
qualitative,boekhandelaar
qualitative,dienst
qualitative,makelaar
150,hooger
150,werkmeid
qualitative,dienstbode
qualitative,volontair
100,boekhandelaar
100,werkmeid
100,boekhandelaar
4,jongen
4,boekhandelaar
4,uitgever
qualitative,bediende
qualitative,dienst
qualitative,dienstbode
qualitative,dienstbode
no wage indication,president
no wage indication,secretaris
qualitative,industrieele
qualitative,keukenmeid
qualitative,keukenmeid
qualitative,behanger
qualitative,meesterknecht
qualitative,drukker
ƒloo,werkmeid
qualitative,huiswerk
no wage indication,boekhandelaar
qualitative,behanger
qualitative,meesterknecht
qualitative,model
qualitative,boekhandelaar
qualitative,kramer
qualitative,drukker
qualitative,meesterknecht
qualitative,huiswerk
no wage indication,president
no wage indication,secretaris
no wage indication,heer
no wage indication,rechtorcommissaris
no wage indication,advocaat
no wage indication,uitvoerder
no wage indication,boekhandelaar
no wage indication,uitgever
760,getnigen
ƒ,boekhandelaar
no wage indication,president
no wage indication,secretaris
verrenssdfl,advocaat
ƒ4,boekhandelaar
ƒ,boekhandelaar
100,beiziger
120,keukenmeid
120,huiswerk
no wage indication,curator
no wage indication,curator
120,keukenmeid
ƒl2o,huiswerk
17650,president
17650,secretaris
17650,president
17650,secretaris
100,werkmeid
100,werkmeid
100,werkmeid
ƒloo,boekhandelaar
100,werkmeid
100,werkmeid
100,boekhandelaar
ƒl3o,keukenmeid
ƒl3o,huiswerk
ƒl3o,boekhandelaar
ƒl3o,boekhandelaar
no wage indication,zomer
ƒl3o,keukenmeid
ƒl3o,huiswerk
ƒl3o,boekhandelaar
ƒl3o,boekhandelaar
no wage indication,curator
no wage indication,curator
no wage indication,president
no wage indication,secretaris
no wage indication,hotelhouder
no wage indication,meter
no wage indication,president
no wage indication,secretaris
no wage indication,secretaris
80,dienstbode
leeftijd,dienstbode
leeftijd,keukenmeid
leeftijd,huiswerk
leeftijd,boekhandelaar
leeftijd,boekhandelaar
leeftijd,boekhandelaar
leeftijd,boekhandelaar
leeftijd,dienstbode
leeftijd,keukenmeid
leeftijd,huiswerk
leeftijd,boekhandelaar
leeftijd,brouwer
leeftijd,boekhandelaar
leeftijd,boekhandelaar
leeftijd,boekhandelaar
qualitative,boekhandelaar
qualitative,vormer
ƒ100,werkmeid
no wage indication,boekhandelaar
qualitative,boekhouden
qualitative,magazijnbediende
qualitative,reiziger
qualitative,boekhouden
qualitative,reiziger
qualitative,magazijnbediende
no wage indication,boekhandelaar
qualitative,boekhouden
qualitative,reiziger
qualitative,boekhouden
qualitative,reiziger
faillissement,kleermaker
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
faillissement,kleermaker
5,agent
5,boekhandelaar
no wage indication,president
no wage indication,secretaris
no wage indication,president
no wage indication,secretaris
5,agent
5,boekhandelaar
no wage indication,ourator
no wage indication,makelaars
no wage indication,makelaars
no wage indication,makelaars
no wage indication,makelaars
qualitative,chef
ƒloo,geneeskundige
ƒloo,hooger
ƒloo,hooger
qualitative,kok
ƒloo,geneeskundige
ƒloo,hooger
ƒloo,hooger
100,bedlende
100,werkmeid
ƒloo,geneeskundige
ƒloo,hooier
ƒloo,hooger
no wage indication,heer
ƒloo,geneeskundige
ƒloo,hooger
ƒloo,hooger
no wage indication,heer
no wage indication,tandarts
no wage indication,zuiveraars
ƒloo,geneeskundige
ƒloo,hooger
ƒloo,hooger
ƒloo,geneeskundige
ƒloo,geneeskundige
ƒloo,keukenmeid
ƒloo,hooger
ƒloo,hooger
qualitative,kappersbediende
2,kunsthandelaar
2,werkmeid
2,kunsthandelaar
2,werkmeid
qualitative,onderwijzer
qualitative,onderwijzer
qualitative,kinderjuffrouw
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
100,keukenmeid
no wage indication,dienstbode
no wage indication,werker
no wage indication,expediteur
qualitative,modiste
qualitative,werkmeid
qualitative,gezelschapsjuffrouw
qualitative,werkmeid
no wage indication,nieer
no wage indication,president
no wage indication,secretaris
23024,president
23024,secretaris
ƒ750,boekhandelaar
ƒ750,boekhandelaar
750,kruideniersbediende
ƒ,boekhandelaar
100,meid
25089,president
25089,secretaris
25089,secretaris
qualitative,winkelier
ƒ3,jongen
ƒ3,boekhandelaar
no wage indication,boekhandelaar
ƒb,uitgever
ƒb,uitgever
ƒb,uitgever
fzu,uitgever
fzu,uitgever
fzu,uitgever
qualitative,rijtuigfabrikant
qualitative,dienstbode
no wage indication,reiziger
qualitative,keukenmeid
qualitative,huiswerk
no wage indication,knecht
no wage indication,hooger
no wage indication,bediende
qualitative,keukenmeid
qualitative,huiswerk
no wage indication,keukenmeid
5,boekhouden
qualitative,banketbakker
qualitative,bediende
qualitative,bediende
no wage indication,administratie
9,kruideniersbediende
9,dienst
qualitative,dienaar
qualitative,dienst
qualitative,dienstbode
qualitative,dienst
125,dienstbode
125,dienst
125,noodhulp
qualitative,waarde
qualitative,werkmeid
qualitative,vuurwerker
qualitative,kopergieter
no wage indication,boekhandelaar
no wage indication,makelaar
no wage indication,visser
no wage indication,dienstbode
no wage indication,visser
no wage indication,boekhandelaar
qualitative,knecht
qualitative,meid
no wage indication,huiswerk
qualitative,jager
no wage indication,ingenieur
ƒ80,werkmeid
ƒbo,heer
ƒbo,hoofd
ƒbo,dienstbode
no wage indication,president
no wage indication,secretaris
no wage indication,president
no wage indication,secretaris
110,keukenmeid
110,huiswerk
no wage indication,leiden
100,huiswerk
no wage indication,leiden
qualitative,reiziger
no wage indication,leiden
110,keukenmeid
110,keukenmeid
120,dienst
120,huiswerk
qualitative,pianist
qualitative,keukenmeid
qualitative,keukenmeid
vjjfentwintig,dienstbode
vjjfentwintig,dienst
vjjfentwintig,dienstbode
qualitative,keukenmeid
no wage indication,cargadoor
no wage indication,horlogemaker
120,dienstbode
qualitative,meesterknecht
qualitative,dienst
qualitative,kramer
qualitative,dienstmeisje
no wage indication,knecht
no wage indication,boekhandelaar
no wage indication,uitgever
no wage indication,president
no wage indication,secretaris
100,werkmeid
no wage indication,boekhandelaar
qualitative,hoofd
qualitative,maar
qualitative,koperdraaier
qualitative,dienst
no wage indication,bediende
no wage indication,bediende
no wage indication,bediende
no wage indication,bediende
no wage indication,diamantkloven
no wage indication,bediende
no wage indication,bediende
no wage indication,diamantkloven
no wage indication,bediende
no wage indication,bediende
no wage indication,diamantkloven
no wage indication,dagmeisje
no wage indication,president
no wage indication,secretaris
no wage indication,president
no wage indication,secretaris
qualitative,gids
qualitative,juffrouw
qualitative,juffrouw
qualitative,juffrouw
qualitative,juffrouw
no wage indication,makelaar
no wage indication,gemeente
no wage indication,dienst
no wage indication,makelaar
no wage indication,gemeente
no wage indication,dienst
qualitative,kamer
no wage indication,gemeente
no wage indication,dienst
no wage indication,fabrieksbaas
no wage indication,administratie
no wage indication,gemeente
no wage indication,dienst
no wage indication,boekhandelaar
no wage indication,leiden
no wage indication,administrateur
no wage indication,boekhandelaar
no wage indication,leiden
no wage indication,leiden
no wage indication,leiden
no wage indication,boekhandelaar
no wage indication,leiden
no wage indication,administrateur
no wage indication,boekhandelaar
no wage indication,leiden
30,naaister
80,naaister
80,winkeljuffrouw
ƒ3o,naaister
ƒ3o,naaister
qualitative,maar
qualitative,administratie
qualitative,dienst
qualitative,dienstbode
qualitative,juffrouw
qualitative,dienst
qualitative,dienstbode
qualitative,maar
qualitative,administratie
qualitative,keukenmeid
40414,administratie
40414,president
no wage indication,administratie
no wage indication,president
qualitative,heer
qualitative,werkmeid
qualitative,keukenmeid
qualitative,heer
qualitative,werkmeid
qualitative,keukenmeid
90,meid
90,dagmeisje
90,huiswerk
125,dienst
125,dienstbode
125,meid
125,dienstbode
125,dienst
125,dienstbode
125,meid
no wage indication,administratie
no wage indication,president
40414,administratie
40414,president
qualitative,varkensslachtersknecht
no wage indication,compagnon
qualitative,beurtschipper
qualitative,stemmer
no wage indication,compagnon
qualitative,stemmer
no wage indication,dienstbode
no wage indication,dienstbode
no wage indication,dienstbode
100,dienstbode
100,agent
95,werkmeid
ƒ,dagmeisje
©5,werkmeid
f,dagmeisje
100,bienstbode
100,agent
no wage indication,secretaris
qualitative,plaatsvervangers
qualitative,plaatsvervanger
qualitative,plaatsvervangers
qualitative,nummerverwisselaar
qualitative,plaatsvervanger
no wage indication,president
no wage indication,secretaris
no wage indication,president
no wage indication,secretaris
no wage indication,secretaris
ƒloo,huiswerk
qualitative,werkman
qualitative,huisknecht
qualitative,huisknecht
no wage indication,dienst
no wage indication,huiswerk
qualitative,huiswerk
qualitative,dienstbode
no wage indication,advocaat
no wage indication,machinist
no wage indication,president
no wage indication,secretaris
qualitative,heer
no wage indication,advocaat
200,keukenmeid
no wage indication,advocaat
no wage indication,administratieve
ƒbo,correspondent
ƒbo,dienstbode
ƒbo,meid
qualitative,barbiersbediende
100,dienst
100,meid
no wage indication,huiswerk
qualitative,dierst
no wage indication,chocolatier
no wage indication,chocolatier
no wage indication,huiswerk
no wage indication,geneeskundige
no wage indication,hulp
no wage indication,machinist
no wage indication,curator
no wage indication,dagmeisje
no wage indication,huiswerk
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
qualitative,dienst
no wage indication,boekhandelaar
qualitative,loten
qualitative,dienst
qualitative,lieer
100—,werkmeid
100—,dienst
100—,dienstbode
100—,huiswerk
qualitative,dienst
qualitative,lieer
ï00,kamermeid
ƒloo,correspondentie
qualitative,curator
qualitative,keukenmeid
qualitative,huiswerk
qualitative,werkmeid
qualitative,curator
qualitative,kramer
qualitative,keukenmeid
qualitative,keukenmeid
qualitative,huiswerk
no wage indication,huiswerk
100,juffrouw
no wage indication,keukenmeid
no wage indication,huiswerk
no wage indication,heer
no wage indication,burgemeester
qualitative,dienst
100,dienstbode
no wage indication,keukenmeid
qualitative,boekhandelaar
qualitative,werkster
qualitative,leiden
qualitative,boekhandelaar
qualitative,keukenmeid
qualitative,dienst
qualitative,huiswerk
qualitative,dienst
ƒ,huiswerk
ƒ,huiswerk
120,keukenmeid
120,huiswerk
f,boekhandelaar
125,directeuren
125,dagmeisje
125,huiswerk
no wage indication,boekhandelaar
ƒ,meid
ƒ,dienstbode
11©,keukenmeid
11©,huiswerk
11©,meid
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,geneeskundige
no wage indication,hulp
f,keukenmeid
f,huiswerk
f,meid
no wage indication,dienst
no wage indication,dienst
no wage indication,visser
no wage indication,brouwer
no wage indication,visser
no wage indication,potter
ƒ,boekhandelaar
ƒ,boekhandelaar
honderd,makelaars
honderd,kramer
honderd,makelaars
no wage indication,president
no wage indication,secretaris
no wage indication,president
no wage indication,secretaris
no wage indication,secretaris
no wage indication,secretaris
qualitative,keukenmeid
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,directeur
no wage indication,modderman
no wage indication,secretaris
no wage indication,keukenmeid
no wage indication,werkmeid
no wage indication,werkmeid
no wage indication,model
90,houthandelaar
90,dienstbode
90,dienstbode
90,meid
90,huiswerk
qualitative,behanger
no wage indication,makelaars
no wage indication,boekhandelaar
no wage indication,dijkgraaf
no wage indication,dienstbode
no wage indication,meid
ƒllo,keukenmeid
ƒllo,keukenmeid
ƒllo,kantoorboekhandelaar
ƒbo,boekhandelaar
ƒbo,dienstmeisje
no wage indication,secretaris
no wage indication,dienstbode
6,palfrenier
ƒ5o,kok
no wage indication,makelaars
no wage indication,boekhandelaar
no wage indication,dijkgraaf
qualitative,stadsreiziger
qualitative,boekhandelaar
qualitative,boekhandelaar
no wage indication,heer
no wage indication,huiswerk
no wage indication,machinewerker
no wage indication,winkelbediende
ƒ175,loopmeisje
13359,president
13359,secretaris
100,werkmeid
qualitative,machinist
qualitative,bankwerker
qualitative,dienst
400,schoonmaakster
400,huisbewaarder
3«0,koper
no wage indication,werkmeid
no wage indication,dienst
no wage indication,werkmeid
f,dienstbode
qualitative,logementhouder
no wage indication,kantoorbediende
no wage indication,chef
14980,president
14980,secretaris
14980,makelaars
no wage indication,loten
ƒ,handelaar
no wage indication,deventer
griffier,geneesheer
griffier,bakker
griffier,hoofd
griffier,hoofd
griffier,directeur
griffier,griffier
100,maar
no wage indication,makelaar
120,keukenmeid
ƒ,boekhandelaar
16260,administratie
16260,president
16260,secretaris
16260,administratie
16260,secretaris
110,zolder
110,keukenmeid
110,dienst
110,keukenmeid
110,huiswerk
no wage indication,heer
no wage indication,heer
no wage indication,heer
no wage indication,heer
ƒ,dienstbode
ƒ,huiswerk
no wage indication,kleermaker
no wage indication,coupeur
qualitative,barbiersbediende
qualitative,bediende
no wage indication,keukenmeid
qualitative,bediende
ƒbo,dienstbode
ƒbo,huiswerk
no wage indication,president
no wage indication,secretaris
no wage indication,heer
100,keukenmeid
100,huiswerk
no wage indication,heer
no wage indication,heer
100,heer
100,keukenmeid
100,huiswerk
100,heer
no wage indication,president
no wage indication,secretaris
18t28,rentmeester
18t28,administratie
18t28,correspondentie
no wage indication,makelaars
no wage indication,boekhandelaar
no wage indication,dijkgraaf
1883,administratie
1883,president
1883,secretaris
ƒ3oo,huisknecht
ƒ3oo,dienst
ƒ3oo,huisknecht
ƒ3oo,dienst
8,dienst
8,knecht
no wage indication,koper
qualitative,private
qualitative,kindermeid
no wage indication,keukenmeid
no wage indication,keukenmeid
qualitative,bediende
13,boekhandelaar
100,meid
qualitative,heer
no wage indication,president
no wage indication,secretaris
no wage indication,boekhandelaar
no wage indication,dienstbode
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
qualitative,keukenmeid
qualitative,keukenmeid
no wage indication,president
no wage indication,secretaris
no wage indication,dienstbode
100,huishoudster
100,werkmeid
100,dienstbode
100,dienstbode
100,meid
qualitative,keukenmeid
no wage indication,meid
no wage indication,zuster
no wage indication,meid
no wage indication,dienst
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
jßrevrauftd,keukenmeid
125,dienstmeisje
24,hoofdagent
24,bediende
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
no wage indication,notaris
no wage indication,notari3
no wage indication,sigarenfabrikanten
no wage indication,cargadoors
no wage indication,gezagvoerder
no wage indication,cargadoors
no wage indication,gezagvoerder
no wage indication,makelaar
no wage indication,heer
no wage indication,president
no wage indication,secretaris
no wage indication,president
no wage indication,secretaris
no wage indication,cargadoors
no wage indication,gezagvoerder
no wage indication,cargadoors
no wage indication,agent
no wage indication,heer
no wage indication,correspondentie
no wage indication,heer
no wage indication,heer
160,werkmeid
160,keukenmeid
ƒ,boekhandelaar
ƒ,boekhandelaar
no wage indication,huiswerk
150,hofleveranciers
150,werkmeid
150,keukenmeid
qualitative,hoofdagent
qualitative,keukenmeid
no wage indication,heer
no wage indication,dagmeisje
no wage indication,huiswerk
qualitative,dienstbode
qualitative,meid
ƒ9o,heer
no wage indication,boekhandelaar
no wage indication,president
no wage indication,makelaars
no wage indication,makelaars
no wage indication,bakker
no wage indication,makelaars
no wage indication,bakker
no wage indication,bakkeb
no wage indication,administrateur
ƒloo,keukenmeid
ƒloo,dienst
ƒloo,dienstbode
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
no wage indication,administratie
ƒ2oo,boekhandelaar
ƒ2oo,keukenmeid
ƒ2oo,boekhandelaar
ƒ2oo,keukenmeid
no wage indication,gezant
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
qualitative,boekhouden
qualitative,keukenmeid
qualitative,dienst
1,makelaar
1,molenaar
1,keukenmeid
1,bazaar
1,keukenmeid
no wage indication,wagenknecht
no wage indication,knecht
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
25©,oppasser
qualitative,onderofficier
qualitative,administratieve
qualitative,opzichter
qualitative,administrateur
no wage indication,curator
ƒl5o,diamantklover
ƒl5o,keukenmeid
ƒl5o,huiswerk
qualitative,heer
hoofdagent,hoofdagent
qualitative,keukenmeid
qualitative,keukenmeid
jf,dienst
jf,jongen
3—,bakker
3—,jongren
ƒ,kramer
ƒ,keukenmeid
ƒ,huiswerk
950,jongen
5850,jongen
8,boekhouden
8,boekhouden
41090,president
41090,secretaris
ƒloo,werkmeid
qualitative,uitvoerders
qualitative,bediende
qualitative,slijterij
qualitative,bediende
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
no wage indication,hoofd
qualitative,boekhandelaar
ƒ9,theehandelaar
ƒ9,winkelbediende
qualitative,dienst
1190,president
1190,secretarie
qualitative,burgemeester
qualitative,dienstbode
no wage indication,dienstbode
qualitative,huiswerk
130,keukenmeid
qualitative,huiswerk
qualitative,huiswerk
qualitative,huiswerk
qualitative,machinist
qualitative,machinist
no wage indication,boekhandelaar
ƒ7,sorteerder
ƒ7,sorteerder
no wage indication,cargadoors
no wage indication,cargadoors
no wage indication,cargadoors
no wage indication,cargadoors
qualitative,kappersbediende
10—,heer
10—,architect
10—,werktuigkundige
10—,heer
no wage indication,officier
no wage indication,officier
no wage indication,cargadoors
no wage indication,cargadoor»
qualitative,werkster
qualitative,coupeuse
qualitative,goudstikker
1»0,keukenmeid
1»0,huiswerk
no wage indication,heer
qualitative,onderwijzer
27,curator
qualitative,baas
drie,referenten
qualitative,administratieve
no wage indication,jongren
no wage indication,volontair
befleeteerenden,industrieel
12,keukenmeid
12,huiswerk
no wage indication,huisbewaarders
no wage indication,boekhandelaar
no wage indication,president
no wage indication,secretaris
no wage indication,secretaris
100,werkster
100,coupeuse
100,dienstbode
100,huiswerk
qualitative,knecht
120,keukenmeid
120,meid
ƒ100,huiswerk
110,huiswerk
qualitative,werkmeid
no wage indication,bierbrouwerij
no wage indication,bouwkundige
100,volontair
100,werkster
25,president
25,secretaris
25,secretaris
100,dienst
100,kindermeid
100,dienstbode
100,hulp
100,dagmeisje
100,schoonmaakster
no wage indication,president
no wage indication,president
no wage indication,president
100,dienst
100,werkster
no wage indication,grossiers
no wage indication,correspondentie
qualitative,meesterknecht
qualitative,onderbaas
qualitative,werkman
no wage indication,letterzetters
13146,president
13146,president
18147,secretaiis
no wage indication,president
no wage indication,secretaris
qualitative,boekhandelaar
qualitative,modiste
no wage indication,president
no wage indication,secretaris
no wage indication,coiffeur
no wage indication,bediende
no wage indication,apotheek
no wage indication,president
no wage indication,secretaris
no wage indication,president
no wage indication,secretaris
no wage indication,president
no wage indication,secretaris
2,zandvormers
2,leemvormer
no wage indication,president
no wage indication,secretaris
5,knecht
no wage indication,cargadoors
20,administratie
20,coiffeur
20,kappersbediende
20,coiffeur
qualitative,huiswerk
no wage indication,commissionnair
no wage indication,jonkheer
qualitative,keukenmeid
no wage indication,secretaris
no wage indication,huiswerk
no wage indication,keukenmeid
no wage indication,huiswerk
qualitative,hoofd
qualitative,werkmeid
qualitative,werkmeid
qualitative,dienstbode
qualitative,dienst
no wage indication,burgemeester
125,keukenmeid
95,meid
95,werkmeid
qualitative,huisknecht
95,directeur
95,werkmeid
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
no wage indication,secretaris
ƒ,gruyter
ƒ,keukenmeid
qualitative,tuinwerk
qualitative,agent
qualitative,notaris
ƒ100,keukenmeid
ƒ100,huiswerk
ƒ100,huiswerk
no wage indication,machinemeester
no wage indication,secretaris
no wage indication,geoctroieerde
qualitative,dienst
no wage indication,meid
qualitative,dienst
no wage indication,meid
no wage indication,maar
no wage indication,opzichter
no wage indication,eigenaar
no wage indication,directrice
no wage indication,doctor
no wage indication,winkelbediende
no wage indication,directrice
no wage indication,directrice
no wage indication,directrice
no wage indication,kamer
no wage indication,curator
no wage indication,boekhouder
no wage indication,directrice
no wage indication,juffrouw
no wage indication,fabrikant
no wage indication,huiswerk
no wage indication,heer
no wage indication,fabrikant
qualitative,werkmeid
no wage indication,directrice
no wage indication,tandarts
no wage indication,tandarts
no wage indication,agent
no wage indication,zuiveraars
no wage indication,fabrikant
no wage indication,fabrikant
no wage indication,makelaar
no wage indication,grossier
no wage indication,fabrikant
ƒloo,dienstbode
no wage indication,fabrikant
100,boekhandelaar
100,dienstbode
100,dienstbode
100,boekhandelaar
no wage indication,boekhandelaar
100,dienstbode
100,dienstbode
ƒl5o,keukenmeid
ƒl5o,huiswerk
no wage indication,directrice
no wage indication,tandarts
no wage indication,dienst
no wage indication,directrice
no wage indication,directrice
qualitative,agent
qualitative,leiden
qualitative,coiffeur
no wage indication,directrice
no wage indication,knecht
qualitative,compagnon
no wage indication,directrice
no wage indication,makelaar
no wage indication,grossiers
no wage indication,grossiers
no wage indication,kruideniers
no wage indication,directrice
qualitative,burgemeester
qualitative,dienstbode
qualitative,huiswerk
no wage indication,grossiers
no wage indication,kruideniers
no wage indication,grossiers
no wage indication,kruideniers
no wage indication,kruideniers
no wage indication,directrice
100,dienstbode
100,meid
no wage indication,president
no wage indication,directrice
no wage indication,directrice
no wage indication,besteedster
90,werkmeid
100,moeder
100,dienstbode
100,dienst
400,bedlende
qualitative,boekhandelaar
qualitative,dienst
qualitative,werkmeid
0©,opzichter
0©,bediende
no wage indication,wagenknecht
ƒl2,administratie
ƒl2,expeditie
no wage indication,administratie
no wage indication,president
no wage indication,secretaris
no wage indication,boekhandelaar
qualitative,boekhandelaar
qualitative,machinist
qualitative,smid
qualitative,bankwerker
qualitative,keukenmeid
qualitative,keukenmeid
no wage indication,noodhulp
110,dienstbode
110,huiswerk
110,getuige
no wage indication,cargadoor
qualitative,rakker
qualitative,leiden
no wage indication,schipper
no wage indication,prior
no wage indication,directeur
no wage indication,juffrouw
no wage indication,huishoudster
90,huiswerk
qualitative,keukenmeid
qualitative,huiswerk
no wage indication,officier
no wage indication,boekhandelaar
no wage indication,keukenmeid
no wage indication,keukenmeid
100,dienstbode
ƒ125,dagmeisje
ƒ125,huiswerk
ƒ125,dagmeisje
ƒ125,dagmeisje
ƒ125,huiswerk
no wage indication,dienst
no wage indication,bediende
118,onderwijzeres
100,dienst
100,dienst
no wage indication,drost
no wage indication,keukenmeid
no wage indication,werkmeid
qualitative,huiswerk
qualitative,keukenmeid
qualitative,keukenmeid
qualitative,keukenmeid
qualitative,keukenmeid
no wage indication,werkmeid
griffier,geneesheer
griffier,hoofd
griffier,hoofd
griffier,griffier
griffier,geneesheer
griffier,hoofd
griffier,hoofd
griffier,griffier
griffier,geneesheer
griffier,hoofd
griffier,hoofd
griffier,griffier
no wage indication,fabrikanten
100,huiswerk
tien,bediende
no wage indication,dienstbode
no wage indication,directrice
no wage indication,mtn
no wage indication,directrice
qualitative,dienstbode
qualitative,meid
no wage indication,directrice
no wage indication,boekhouder
no wage indication,heer
no wage indication,directrice
qualitative,knecht
qualitative,boekhandelaar
90,huiswerk
90,huiswerk
90,huiswerk
no wage indication,directrice
qualitative,bediende
no wage indication,directrice
no wage indication,directrice
no wage indication,directrice
qualitative,huiswerk
flooikade,directrice
no wage indication,directrice
ƒ,werkmeid
qualitative,meid
no wage indication,directrice
no wage indication,commissaris
no wage indication,vertegenwoordiger
no wage indication,directeur
no wage indication,directrice
no wage indication,directrice
no wage indication,directrice
no wage indication,directrice
no wage indication,aannemer
van10,dienst
van10,dienstbode
van10,huiswerk
no wage indication,directrice
no wage indication,directrice
no wage indication,directrice
no wage indication,directrice
no wage indication,schepen
no wage indication,secretaris
no wage indication,secretaris
no wage indication,kamer
no wage indication,gepensionneerd
no wage indication,militair
qualitative,zomer
qualitative,dienst
no wage indication,president
no wage indication,correspondentie
no wage indication,boekhandelaar
no wage indication,president
no wage indication,secretaris
no wage indication,clown
qualitative,huisbewaarster
qualitative,dienst
no wage indication,president
no wage indication,secretaris
100,boekhandelaar
100,keukenmeid
100,boekhandelaar
no wage indication,werkmeid
100,boekhandelaar
qualitative,knecht
qualitative,knecht
no wage indication,dienstbode
no wage indication,tuinwerk
no wage indication,getuig
no wage indication,boekhandelaar
no wage indication,steendrukkers
no wage indication,notaris
no wage indication,jonkheer
no wage indication,notaris
no wage indication,notaris
100,boekhouder
100,leeraar
100,huiswerk
no wage indication,commissionnair
no wage indication,jonkheer
no wage indication,commissionnair
no wage indication,bouwkunde
no wage indication,boerenarbeider
no wage indication,melker
no wage indication,makelaar
no wage indication,dienst
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,boekbandelaar
no wage indication,boekhouden
no wage indication,diamantklover
no wage indication,diamantklover
no wage indication,machinist
no wage indication,bankwerker
no wage indication,boekhandelaar
no wage indication,dienst
no wage indication,huiswerk
no wage indication,dienßt
no wage indication,keukenmeid
no wage indication,huiswerk
no wage indication,vuurwerker
no wage indication,voorwerker
21,curator
qualitative,procuratiehouder
qualitative,vuurwerker
qualitative,vuurwerker
no wage indication,colporteurs
no wage indication,kramer
no wage indication,kleermaker
24458,administratie
24458,secretarie
100,dienstbode
24782,president
24782,secretaris
ƒ3o,werkmeid
qualitative,brouwer
qualitative,procureur
qualitative,jongen
no wage indication,student
100,dienstbode
ƒloo,heer
