res,occ
qualitative,heer
qualitative,bediende
qualitative,werker
90,heer
90,drogist
90,dienstbode
90,dienstbode
qualitative,werksters
90,dienstbode
qualitative,huiswerk
no wage indication,werkman
qualitative,baas
qualitative,koper
no wage indication,winkelier
no wage indication,hoofd
vier,dienst
qualitative,keukenmeid
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
100,keukenmeid
100,huiswerk
qualitative,buffetjuffrouw
no wage indication,heer
no wage indication,advocaat
no wage indication,procureur
no wage indication,curator
no wage indication,procureur
no wage indication,deurwaarder
no wage indication,heer
no wage indication,procureur
no wage indication,kamer
no wage indication,broeder
no wage indication,deurwaarder
no wage indication,procureur
no wage indication,leiden
20459,coiffeur
no wage indication,heer
no wage indication,leiden
no wage indication,leiden
no wage indication,deventer
no wage indication,deventer
no wage indication,deventer
100,huiswerk
qualitative,schilders
qualitative,aannemer
ƒ7o,confectie
qualitative,timmerman
qualitative,aannemer
qualitative,blikslagers
qualitative,fabrikant
100,keukenmeid
no wage indication,keukenmeid
no wage indication,huiswerk
no wage indication,banketbakkerij
qualitative,zolder
100,keukenmeid
100,boekhandelaar
100,keukenmeid
100,meid
qualitative,steendrukkerij
of,diamantsnijder
qualitative,letterzetters
no wage indication,brugman
no wage indication,boekhandelaar
no wage indication,boekhandelaar
100,huiswerk
25,secretarie
no wage indication,administratie
no wage indication,coiffeursbediende
qualitative,stoffeerder
no wage indication,confectie
no wage indication,boekhandelaar
no wage indication,juffrouw
no wage indication,boekhandelaar
no wage indication,juffrouw
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
qualitative,bediende
qualitative,huiswerk
qualitative,dienstbode
no wage indication,huiswerk
100,confectie
100,bookhandelaar
100,huiswerk
qualitative,dienstbode
no wage indication,boekhandelaar
100,keukenmeid
100,huiswerk
no wage indication,kindermeid
qualitative,dienstbode
qualitative,keukenmeid
qualitative,huiswerk
ƒ,werkmeid
120,dienstbode
120,dienst
qualitative,juffrouw
qualitative,directrice
qualitative,juffrouw
100,dienst
qualitative,juffrouw
ƒ,boekhandelaar
ƒ,boekhandelaar
ƒ,boekhandelaar
100,dienstbode
100,meid
100,schoonmaakster
no wage indication,dienstbode
no wage indication,schoonmaakster
no wage indication,dienstbode
10,papierhandelaar
ƒ9o,dienstbode
ƒ9o,confectiebediende
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
qualitative,zuiveraars
qualitative,zuiveraars
qualitative,keukenmeid
90,dienst
90,noodhulp
90,hulp
no wage indication,drukker
no wage indication,werkmeid
ƒl2o,dienstbode
ƒl2o,dienst
ƒl2o,dienstbode
no wage indication,boekhandelaar
no wage indication,burgerdienstbode
759,keukenmeid
no wage indication,boekhandelaar
of,grossiers
no wage indication,dienstbode
qualitative,kelder
qualitative,zolder
no wage indication,dienst
no wage indication,werkmeid
qualitative,zager
ƒbo,dienstbode
ƒbo,meid
qualitative,werkmeid
qualitative,zager
no wage indication,hofleverancier
100,boekhouden
100,werkmeid
acht,knecht
qualitative,keukenmeid
no wage indication,letterzetter
101,makelaar
no wage indication,letterzetter
no wage indication,directeur
ƒbo,dienstbode
125,kruideniers
125,bediende
125,koster
125,dienstbode
f,dienst
no wage indication,koster
no wage indication,schipper
no wage indication,leiden
100,dienst
100,dienstbode
no wage indication,dienstbode
550,klerk
qualitative,werkmeid
qualitative,dienst
no wage indication,dienstbode
no wage indication,boekhandelaar
no wage indication,boekhandelaar
ƒ,kamer
100,dienst
100,dienstbode
100,dienst
no wage indication,dienst
no wage indication,getnigen
qualitative,steenscherper
qualitative,werkmeid
no wage indication,advocaat
no wage indication,barbiersbediende
3,jongen
3,jongen
90,dienstbode
ƒl2,dienst
ƒl2,retouche
12,agent
12,dienst
12,retouche
no wage indication,smid
qualitative,barbiersbediende
qualitative,kok
no wage indication,schilders
125,dienstbode
no wage indication,linieerder
no wage indication,dienstbode
no wage indication,kindermeisje
no wage indication,dienstbode
no wage indication,dienstbode
no wage indication,dienstbode
125,dienst
125,keukenmeid
125,werkmeid
110,dienstbode
qualitative,heer
qualitative,huiswerk
qualitative,makelaar
qualitative,dienstbode
qualitative,zolder
qualitative,werkmeid
qualitative,getuigeu
100,huiswerk
150s,zolders
150s,dienst
150s,bode
qualitative,zomer
qualitative,keukenmeid
qualitative,huiswerk
no wage indication,steendrukkerij
qualitative,chef
qualitative,chef
qualitative,chef
no wage indication,gouvernante
no wage indication,keukenmeid
no wage indication,dienstbode
no wage indication,boekhandelaar
no wage indication,commissaris
no wage indication,secretaris
100,notaris
100,burgerdienstbode
no wage indication,keukenmeid
no wage indication,huiswerk
no wage indication,werkmeid
qualitative,dienstbode
ƒ9o,dienstbode
ƒ9o,huiswerk
qualitative,onderofficier
qualitative,onderofficier
no wage indication,dienst
no wage indication,sleper
100,hoer
100,keukenmeid
100,meid
no wage indication,kraamvrouw
no wage indication,meid
90,dienstbode
90,meid
70,dienstbode
